"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg22945467",0.0054,0.0011,3.5e-07,5.3e-05,"smoking","F001"
"cg00110832",-0.0044,9e-04,3.5e-07,5.3e-05,"smoking","F001"
"cg14747813",0.0091,0.0018,3.5e-07,5.3e-05,"smoking","F001"
"cg05303057",0.0029,6e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg19203115",0.0085,0.0017,3.6e-07,5.4e-05,"smoking","F001"
"cg25582283",0.0035,7e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg08623277",0.0041,8e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg23474723",-0.005,0.001,3.6e-07,5.4e-05,"smoking","F001"
"cg25006194",0.0045,9e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg08282145",0.0048,9e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg23902994",-0.0088,0.0017,3.6e-07,5.4e-05,"smoking","F001"
"cg10457247",-0.005,0.001,3.6e-07,5.4e-05,"smoking","F001"
"cg00839579",-0.0038,7e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg17018786",0.0038,7e-04,3.6e-07,5.4e-05,"smoking","F001"
"cg06632310",-0.0063,0.0012,3.6e-07,5.5e-05,"smoking","F001"
"cg10380221",0.0091,0.0018,3.7e-07,5.5e-05,"smoking","F001"
"cg18583329",-0.0044,9e-04,3.7e-07,5.5e-05,"smoking","F001"
"cg21090033",0.0064,0.0013,3.7e-07,5.5e-05,"smoking","F001"
"cg18836847",-0.005,0.001,3.7e-07,5.5e-05,"smoking","F001"
"cg03599037",-0.0048,9e-04,3.7e-07,5.5e-05,"smoking","F001"
"cg20377376",-0.0054,0.0011,3.7e-07,5.6e-05,"smoking","F001"
"cg17284553",-0.005,0.001,3.7e-07,5.6e-05,"smoking","F001"
"cg15235999",0.0128,0.0025,3.7e-07,5.6e-05,"smoking","F001"
"cg03359362",-0.0045,9e-04,3.7e-07,5.6e-05,"smoking","F001"
"cg10116432",-0.0124,0.0024,3.7e-07,5.6e-05,"smoking","F001"
"cg03508212",-0.0043,8e-04,3.7e-07,5.6e-05,"smoking","F001"
"cg16688112",-0.0057,0.0011,3.8e-07,5.6e-05,"smoking","F001"
"cg01277438",-0.0046,9e-04,3.8e-07,5.6e-05,"smoking","F001"
"cg15840005",-0.007,0.0014,3.8e-07,5.6e-05,"smoking","F001"
"cg04159302",-0.0091,0.0018,3.8e-07,5.6e-05,"smoking","F001"
"cg04982781",-0.0073,0.0014,3.8e-07,5.6e-05,"smoking","F001"
"cg21081878",0.0123,0.0024,3.8e-07,5.7e-05,"smoking","F001"
"cg07147033",-0.0075,0.0015,3.8e-07,5.7e-05,"smoking","F001"
"cg10592592",-0.0148,0.0029,3.8e-07,5.7e-05,"smoking","F001"
"cg16204618",0.006,0.0012,3.8e-07,5.7e-05,"smoking","F001"
"cg16001613",-0.006,0.0012,3.8e-07,5.7e-05,"smoking","F001"
"cg02025583",0.0046,9e-04,3.8e-07,5.7e-05,"smoking","F001"
"cg26889659",-0.0278,0.0055,3.8e-07,5.7e-05,"smoking","F001"
"cg16624521",0.0113,0.0022,3.8e-07,5.7e-05,"smoking","F001"
"cg01431482",-0.0101,0.002,3.8e-07,5.7e-05,"smoking","F001"
"cg01212887",0.0042,8e-04,3.8e-07,5.7e-05,"smoking","F001"
"cg08144943",-0.0037,7e-04,3.9e-07,5.7e-05,"smoking","F001"
"cg21330896",-0.012,0.0024,3.9e-07,5.7e-05,"smoking","F001"
"cg17478979",0.0073,0.0014,3.9e-07,5.8e-05,"smoking","F001"
"cg05697274",-0.0171,0.0034,3.9e-07,5.8e-05,"smoking","F001"
"cg17292667",0.005,0.001,3.9e-07,5.8e-05,"smoking","F001"
"cg23008718",0.0055,0.0011,3.9e-07,5.8e-05,"smoking","F001"
"cg25151916",0.0045,9e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg13675837",-0.009,0.0018,3.9e-07,5.8e-05,"smoking","F001"
"cg25724895",0.0048,0.001,3.9e-07,5.8e-05,"smoking","F001"
"cg21208744",-0.003,6e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg11405200",-0.0094,0.0018,3.9e-07,5.8e-05,"smoking","F001"
"cg00622702",0.0097,0.0019,3.9e-07,5.8e-05,"smoking","F001"
"cg18611245",-0.0043,9e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg20600850",0.0027,5e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg26677394",-0.0068,0.0013,3.9e-07,5.8e-05,"smoking","F001"
"cg02001410",0.0028,6e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg02863179",-0.0093,0.0018,3.9e-07,5.8e-05,"smoking","F001"
"cg24495008",0.0024,5e-04,3.9e-07,5.8e-05,"smoking","F001"
"cg19668034",-0.0067,0.0013,4e-07,5.9e-05,"smoking","F001"
"cg18758585",-0.0052,0.001,4e-07,5.9e-05,"smoking","F001"
"cg06712542",-0.0069,0.0014,4e-07,5.9e-05,"smoking","F001"
"cg04942107",-0.0068,0.0013,4e-07,5.9e-05,"smoking","F001"
"cg12478185",-0.0131,0.0026,4e-07,5.9e-05,"smoking","F001"
"cg21599324",-0.0057,0.0011,4e-07,5.9e-05,"smoking","F001"
"cg20168514",-0.0054,0.0011,4e-07,5.9e-05,"smoking","F001"
"cg01581360",-0.0065,0.0013,4e-07,5.9e-05,"smoking","F001"
"cg12190341",0.0044,9e-04,4.1e-07,6e-05,"smoking","F001"
"cg09904140",0.005,0.001,4.1e-07,6e-05,"smoking","F001"
"cg25332357",-0.0087,0.0017,4.1e-07,6e-05,"smoking","F001"
"cg05483571",-0.0076,0.0015,4.1e-07,6e-05,"smoking","F001"
"cg10236239",0.0042,8e-04,4.1e-07,6e-05,"smoking","F001"
"cg12108146",-0.006,0.0012,4.1e-07,6e-05,"smoking","F001"
"cg07249224",-0.0027,5e-04,4.1e-07,6e-05,"smoking","F001"
"cg24989962",0.0077,0.0015,4.1e-07,6e-05,"smoking","F001"
"cg04291430",0.0043,9e-04,4.1e-07,6e-05,"smoking","F001"
"cg25636159",-0.0066,0.0013,4.1e-07,6e-05,"smoking","F001"
"cg13630239",0.0095,0.0019,4.1e-07,6e-05,"smoking","F001"
"cg10468373",-0.0052,0.001,4.1e-07,6e-05,"smoking","F001"
"cg19219366",0.0031,6e-04,4.1e-07,6.1e-05,"smoking","F001"
"cg21474786",-0.0055,0.0011,4.1e-07,6.1e-05,"smoking","F001"
"cg14004161",0.0066,0.0013,4.2e-07,6.1e-05,"smoking","F001"
"cg06924081",0.0041,8e-04,4.2e-07,6.1e-05,"smoking","F001"
"cg04456238",0.0077,0.0015,4.2e-07,6.1e-05,"smoking","F001"
"cg19242851",0.0058,0.0012,4.2e-07,6.1e-05,"smoking","F001"
"cg25424279",-0.0079,0.0016,4.2e-07,6.2e-05,"smoking","F001"
"cg06005318",-0.0095,0.0019,4.2e-07,6.2e-05,"smoking","F001"
"cg13775088",0.0026,5e-04,4.2e-07,6.2e-05,"smoking","F001"
"cg02343275",0.0039,8e-04,4.2e-07,6.2e-05,"smoking","F001"
"cg27386529",-0.0076,0.0015,4.3e-07,6.2e-05,"smoking","F001"
"cg09234616",0.0067,0.0013,4.3e-07,6.2e-05,"smoking","F001"
"cg14214321",-0.006,0.0012,4.3e-07,6.2e-05,"smoking","F001"
"cg14191036",-0.0051,0.001,4.3e-07,6.2e-05,"smoking","F001"
"cg25345603",-0.0028,5e-04,4.3e-07,6.2e-05,"smoking","F001"
"cg17584477",0.0032,6e-04,4.3e-07,6.3e-05,"smoking","F001"
"cg22820364",0.0094,0.0019,4.3e-07,6.3e-05,"smoking","F001"
"cg02454806",-0.0055,0.0011,4.3e-07,6.3e-05,"smoking","F001"
"cg13526040",-0.0111,0.0022,4.3e-07,6.3e-05,"smoking","F001"
"cg02471183",-0.006,0.0012,4.3e-07,6.3e-05,"smoking","F001"
"cg00982799",-0.0037,7e-04,4.3e-07,6.3e-05,"smoking","F001"
"cg22917487",0.0081,0.0016,4.3e-07,6.3e-05,"smoking","F001"
"cg19816811",-0.0161,0.0032,4.3e-07,6.3e-05,"smoking","F001"
"cg01436487",-0.0054,0.0011,4.3e-07,6.3e-05,"smoking","F001"
"cg23035209",-0.0081,0.0016,4.3e-07,6.3e-05,"smoking","F001"
"cg05157251",-0.0073,0.0015,4.4e-07,6.3e-05,"smoking","F001"
"cg22907189",0.0041,8e-04,4.4e-07,6.3e-05,"smoking","F001"
"cg19576697",0.0127,0.0025,4.4e-07,6.4e-05,"smoking","F001"
"cg16658412",-0.0247,0.0049,4.4e-07,6.4e-05,"smoking","F001"
"cg03260624",-0.0084,0.0017,4.4e-07,6.4e-05,"smoking","F001"
"cg24222546",-0.0133,0.0026,4.4e-07,6.4e-05,"smoking","F001"
"cg25731807",0.004,8e-04,4.4e-07,6.4e-05,"smoking","F001"
"cg07607074",-0.0066,0.0013,4.4e-07,6.4e-05,"smoking","F001"
"cg10552523",-0.0102,0.002,4.4e-07,6.4e-05,"smoking","F001"
"cg12384004",-0.0136,0.0027,4.5e-07,6.5e-05,"smoking","F001"
"cg16310095",0.0055,0.0011,4.5e-07,6.5e-05,"smoking","F001"
"cg15068318",0.0043,9e-04,4.5e-07,6.5e-05,"smoking","F001"
"cg24127989",-0.0026,5e-04,4.5e-07,6.5e-05,"smoking","F001"
"cg17935233",0.0038,7e-04,4.5e-07,6.5e-05,"smoking","F001"
"cg20801778",0.0032,6e-04,4.5e-07,6.5e-05,"smoking","F001"
"cg06389950",-0.0051,0.001,4.6e-07,6.6e-05,"smoking","F001"
"cg02174232",-0.0031,6e-04,4.6e-07,6.6e-05,"smoking","F001"
"cg17472111",0.0077,0.0015,4.6e-07,6.6e-05,"smoking","F001"
"cg07113136",0.0032,6e-04,4.6e-07,6.6e-05,"smoking","F001"
"cg15908709",-0.0124,0.0025,4.6e-07,6.6e-05,"smoking","F001"
"cg04039799",-0.0135,0.0027,4.6e-07,6.6e-05,"smoking","F001"
"cg15151059",0.0042,8e-04,4.6e-07,6.6e-05,"smoking","F001"
"cg16708465",-0.0111,0.0022,4.6e-07,6.6e-05,"smoking","F001"
"cg02104952",-0.0053,0.0011,4.6e-07,6.7e-05,"smoking","F001"
"cg06035600",-0.0086,0.0017,4.6e-07,6.7e-05,"smoking","F001"
"cg24198941",-0.0054,0.0011,4.6e-07,6.7e-05,"smoking","F001"
"cg03774957",0.004,8e-04,4.7e-07,6.7e-05,"smoking","F001"
"cg23283335",-0.0092,0.0018,4.7e-07,6.7e-05,"smoking","F001"
"cg04144218",-0.0054,0.0011,4.7e-07,6.7e-05,"smoking","F001"
"cg05175803",-0.0039,8e-04,4.7e-07,6.7e-05,"smoking","F001"
"cg14560670",-0.0073,0.0015,4.7e-07,6.7e-05,"smoking","F001"
"cg10928294",-0.0083,0.0017,4.7e-07,6.7e-05,"smoking","F001"
"cg14627404",-0.0067,0.0013,4.7e-07,6.7e-05,"smoking","F001"
"cg17062279",0.0055,0.0011,4.7e-07,6.8e-05,"smoking","F001"
"cg08044789",0.0041,8e-04,4.7e-07,6.8e-05,"smoking","F001"
"cg07521618",0.0035,7e-04,4.7e-07,6.8e-05,"smoking","F001"
"cg01856529",-0.0082,0.0016,4.8e-07,6.8e-05,"smoking","F001"
"cg03872736",-0.0108,0.0022,4.8e-07,6.8e-05,"smoking","F001"
"cg23423766",-0.0026,5e-04,4.8e-07,6.8e-05,"smoking","F001"
"cg13937905",-0.0159,0.0032,4.8e-07,6.9e-05,"smoking","F001"
"cg03649060",-0.0049,0.001,4.8e-07,6.9e-05,"smoking","F001"
"cg07549715",0.0066,0.0013,4.8e-07,6.9e-05,"smoking","F001"
"cg02054431",-0.0106,0.0021,4.8e-07,6.9e-05,"smoking","F001"
"cg22114489",0.0128,0.0025,4.8e-07,6.9e-05,"smoking","F001"
"cg08916374",-0.0077,0.0015,4.9e-07,6.9e-05,"smoking","F001"
"cg05780014",0.0042,8e-04,4.9e-07,6.9e-05,"smoking","F001"
"cg19673350",0.0031,6e-04,4.9e-07,6.9e-05,"smoking","F001"
"cg25918821",-0.0085,0.0017,4.9e-07,6.9e-05,"smoking","F001"
"cg07270872",0.0048,0.001,4.9e-07,7e-05,"smoking","F001"
"cg20884605",0.0043,9e-04,4.9e-07,7e-05,"smoking","F001"
"cg24146100",-0.0166,0.0033,4.9e-07,7e-05,"smoking","F001"
"cg23670794",-0.0047,9e-04,4.9e-07,7e-05,"smoking","F001"
"cg01368900",0.005,0.001,5e-07,7.1e-05,"smoking","F001"
"cg10663765",-0.0175,0.0035,5e-07,7.1e-05,"smoking","F001"
"cg18660898",-0.0078,0.0016,5e-07,7.1e-05,"smoking","F001"
"cg15640375",0.0029,6e-04,5e-07,7.1e-05,"smoking","F001"
"cg02833646",0.0015,3e-04,5e-07,7.1e-05,"smoking","F001"
"cg02462081",-0.0034,7e-04,5e-07,7.1e-05,"smoking","F001"
"cg23559636",-0.0051,0.001,5e-07,7.1e-05,"smoking","F001"
"cg23956760",0.0064,0.0013,5e-07,7.1e-05,"smoking","F001"
"cg25655096",0.0064,0.0013,5e-07,7.1e-05,"smoking","F001"
"cg03950655",-0.0038,8e-04,5e-07,7.1e-05,"smoking","F001"
"cg17851795",-0.0036,7e-04,5e-07,7.1e-05,"smoking","F001"
"cg22506548",-0.0091,0.0018,5e-07,7.1e-05,"smoking","F001"
"cg02273436",-0.0157,0.0031,5.1e-07,7.1e-05,"smoking","F001"
"cg01889010",0.0087,0.0017,5.1e-07,7.2e-05,"smoking","F001"
"cg22510662",0.0106,0.0021,5.1e-07,7.2e-05,"smoking","F001"
"cg08052292",0.0098,0.0019,5.1e-07,7.2e-05,"smoking","F001"
"cg09014329",-0.017,0.0034,5.1e-07,7.2e-05,"smoking","F001"
"cg05191839",-0.0043,9e-04,5.1e-07,7.2e-05,"smoking","F001"
"cg05971521",0.0073,0.0015,5.1e-07,7.2e-05,"smoking","F001"
"cg09064070",0.0082,0.0016,5.1e-07,7.2e-05,"smoking","F001"
"cg24842859",-0.0042,8e-04,5.1e-07,7.2e-05,"smoking","F001"
"cg19337279",0.0044,9e-04,5.1e-07,7.2e-05,"smoking","F001"
"cg01429256",0.0056,0.0011,5.2e-07,7.3e-05,"smoking","F001"
"cg06925984",-0.0081,0.0016,5.2e-07,7.3e-05,"smoking","F001"
"cg14334587",-0.005,0.001,5.2e-07,7.3e-05,"smoking","F001"
"cg27614723",-0.0078,0.0016,5.2e-07,7.3e-05,"smoking","F001"
"cg24375627",0.005,0.001,5.2e-07,7.3e-05,"smoking","F001"
"cg09180848",0.0028,6e-04,5.2e-07,7.3e-05,"smoking","F001"
"cg00619628",0.0047,9e-04,5.3e-07,7.4e-05,"smoking","F001"
"cg24475171",-0.0042,8e-04,5.3e-07,7.5e-05,"smoking","F001"
"cg12825470",0.0018,4e-04,5.3e-07,7.5e-05,"smoking","F001"
"cg17922695",-0.0043,9e-04,5.4e-07,7.5e-05,"smoking","F001"
"cg15553397",0.0073,0.0015,5.4e-07,7.5e-05,"smoking","F001"
"cg20152430",-0.0073,0.0015,5.4e-07,7.5e-05,"smoking","F001"
"cg19851291",0.0039,8e-04,5.4e-07,7.6e-05,"smoking","F001"
"cg25242471",0.0146,0.0029,5.4e-07,7.6e-05,"smoking","F001"
"cg23260502",0.0031,6e-04,5.4e-07,7.6e-05,"smoking","F001"
"cg04156889",0.0048,0.001,5.4e-07,7.6e-05,"smoking","F001"
"cg19980593",0.0026,5e-04,5.4e-07,7.6e-05,"smoking","F001"
"cg23531049",0.0114,0.0023,5.4e-07,7.6e-05,"smoking","F001"
"cg09083279",0.0091,0.0018,5.4e-07,7.6e-05,"smoking","F001"
"cg24804279",0.0058,0.0012,5.4e-07,7.6e-05,"smoking","F001"
"cg23570810",-0.0188,0.0038,5.5e-07,7.6e-05,"smoking","F001"
"cg19711268",0.0093,0.0018,5.5e-07,7.6e-05,"smoking","F001"
"cg06244240",0.0071,0.0014,5.5e-07,7.6e-05,"smoking","F001"
"cg22209010",0.0058,0.0012,5.5e-07,7.6e-05,"smoking","F001"
"cg24155190",-0.0043,9e-04,5.5e-07,7.6e-05,"smoking","F001"
"cg09865015",-0.0069,0.0014,5.5e-07,7.6e-05,"smoking","F001"
"cg16014085",-0.007,0.0014,5.5e-07,7.6e-05,"smoking","F001"
"cg16508714",0.0045,9e-04,5.5e-07,7.7e-05,"smoking","F001"
"cg05478824",-0.0125,0.0025,5.5e-07,7.7e-05,"smoking","F001"
"cg13009654",-0.0081,0.0016,5.5e-07,7.7e-05,"smoking","F001"
"cg10075819",-0.005,0.001,5.5e-07,7.7e-05,"smoking","F001"
"cg09878888",0.006,0.0012,5.5e-07,7.7e-05,"smoking","F001"
"cg23126152",-0.0054,0.0011,5.6e-07,7.7e-05,"smoking","F001"
"cg03193328",0.0053,0.0011,5.6e-07,7.8e-05,"smoking","F001"
"cg21700780",-0.0071,0.0014,5.6e-07,7.8e-05,"smoking","F001"
"cg00675878",-0.0046,9e-04,5.6e-07,7.8e-05,"smoking","F001"
"cg21437157",0.0056,0.0011,5.6e-07,7.8e-05,"smoking","F001"
"cg00082939",-0.0149,0.003,5.6e-07,7.8e-05,"smoking","F001"
"cg00417823",0.0042,8e-04,5.6e-07,7.8e-05,"smoking","F001"
"cg26092675",-0.0119,0.0024,5.6e-07,7.8e-05,"smoking","F001"
"cg17243289",-0.0083,0.0017,5.6e-07,7.8e-05,"smoking","F001"
"cg05799411",0.0026,5e-04,5.6e-07,7.8e-05,"smoking","F001"
"cg09290655",-0.0057,0.0011,5.7e-07,7.9e-05,"smoking","F001"
"cg03438552",-0.0104,0.0021,5.7e-07,7.9e-05,"smoking","F001"
"cg14782678",-0.015,0.003,5.7e-07,7.9e-05,"smoking","F001"
"cg08791922",0.0065,0.0013,5.7e-07,8e-05,"smoking","F001"
"cg26927231",-0.0047,9e-04,5.8e-07,8e-05,"smoking","F001"
"cg18474153",-0.0085,0.0017,5.8e-07,8e-05,"smoking","F001"
"cg18728264",-0.0068,0.0014,5.8e-07,8e-05,"smoking","F001"
"cg00541303",-0.014,0.0028,5.8e-07,8e-05,"smoking","F001"
"cg07212837",0.0045,9e-04,5.8e-07,8.1e-05,"smoking","F001"
"cg01486260",0.0049,0.001,5.8e-07,8.1e-05,"smoking","F001"
"cg26837800",0.0033,7e-04,5.8e-07,8.1e-05,"smoking","F001"
"cg05576845",-0.0106,0.0021,5.8e-07,8.1e-05,"smoking","F001"
"cg14678430",-0.0027,5e-04,5.9e-07,8.1e-05,"smoking","F001"
"cg08091707",0.0049,0.001,5.9e-07,8.1e-05,"smoking","F001"
"cg26257082",-0.0048,0.001,5.9e-07,8.1e-05,"smoking","F001"
"cg00637802",0.003,6e-04,5.9e-07,8.2e-05,"smoking","F001"
"cg05845217",-0.011,0.0022,6e-07,8.2e-05,"smoking","F001"
"cg13814738",-0.0025,5e-04,6e-07,8.3e-05,"smoking","F001"
"cg13362082",0.0027,5e-04,6e-07,8.3e-05,"smoking","F001"
"cg13904006",-0.0104,0.0021,6e-07,8.3e-05,"smoking","F001"
"cg24188561",0.0039,8e-04,6e-07,8.3e-05,"smoking","F001"
"cg12304113",-0.0044,9e-04,6e-07,8.3e-05,"smoking","F001"
"cg17343451",0.0038,8e-04,6.1e-07,8.3e-05,"smoking","F001"
"cg03124636",-0.0029,6e-04,6.1e-07,8.4e-05,"smoking","F001"
"cg07752613",0.0038,8e-04,6.1e-07,8.4e-05,"smoking","F001"
"cg21046160",0.0033,7e-04,6.1e-07,8.4e-05,"smoking","F001"
"cg02880380",0.0036,7e-04,6.1e-07,8.4e-05,"smoking","F001"
"cg00843117",-0.004,8e-04,6.1e-07,8.4e-05,"smoking","F001"
"cg00505001",-0.0047,9e-04,6.2e-07,8.5e-05,"smoking","F001"
"cg04118190",-0.0103,0.0021,6.2e-07,8.5e-05,"smoking","F001"
"cg20250250",-0.0052,0.001,6.2e-07,8.5e-05,"smoking","F001"
"cg10007927",-0.004,8e-04,6.2e-07,8.5e-05,"smoking","F001"
"cg10802680",0.0048,0.001,6.2e-07,8.5e-05,"smoking","F001"
"cg24254387",-0.0037,7e-04,6.2e-07,8.5e-05,"smoking","F001"
"cg05476568",0.0041,8e-04,6.2e-07,8.5e-05,"smoking","F001"
"cg09046979",-0.0105,0.0021,6.2e-07,8.6e-05,"smoking","F001"
"cg04871173",-0.0028,6e-04,6.3e-07,8.6e-05,"smoking","F001"
"cg23173586",0.007,0.0014,6.3e-07,8.6e-05,"smoking","F001"
"cg05233155",0.005,0.001,6.3e-07,8.6e-05,"smoking","F001"
"cg14108380",-0.0086,0.0017,6.3e-07,8.6e-05,"smoking","F001"
"cg06532880",-0.0088,0.0018,6.3e-07,8.6e-05,"smoking","F001"
"cg27497831",0.0091,0.0018,6.3e-07,8.6e-05,"smoking","F001"
"cg18590502",-0.0091,0.0018,6.3e-07,8.6e-05,"smoking","F001"
"cg03039990",0.0065,0.0013,6.4e-07,8.7e-05,"smoking","F001"
"cg03172931",0.008,0.0016,6.4e-07,8.7e-05,"smoking","F001"
"cg25228737",0.0079,0.0016,6.4e-07,8.7e-05,"smoking","F001"
"cg04259904",-0.0073,0.0015,6.4e-07,8.8e-05,"smoking","F001"
"cg07889201",-0.0065,0.0013,6.4e-07,8.8e-05,"smoking","F001"
"cg25875537",-0.0077,0.0015,6.4e-07,8.8e-05,"smoking","F001"
"cg27586885",-0.0051,0.001,6.4e-07,8.8e-05,"smoking","F001"
"cg26112639",0.0049,0.001,6.4e-07,8.8e-05,"smoking","F001"
"cg14728380",0.0081,0.0016,6.5e-07,8.8e-05,"smoking","F001"
"cg12856114",0.0043,9e-04,6.5e-07,8.8e-05,"smoking","F001"
"cg26188212",-0.0127,0.0026,6.5e-07,8.9e-05,"smoking","F001"
"cg03568305",-0.0077,0.0016,6.5e-07,8.9e-05,"smoking","F001"
"cg14205519",-0.0076,0.0015,6.5e-07,8.9e-05,"smoking","F001"
"cg19712979",-0.007,0.0014,6.5e-07,8.9e-05,"smoking","F001"
"cg07285481",-0.0059,0.0012,6.6e-07,8.9e-05,"smoking","F001"
"cg26822480",-0.0021,4e-04,6.6e-07,9e-05,"smoking","F001"
"cg17732372",0.0066,0.0013,6.6e-07,9e-05,"smoking","F001"
"cg05261686",-0.0081,0.0016,6.6e-07,9e-05,"smoking","F001"
"cg01986016",-0.0111,0.0022,6.6e-07,9e-05,"smoking","F001"
"cg06636541",-0.0163,0.0033,6.6e-07,9e-05,"smoking","F001"
"cg13489049",0.0069,0.0014,6.7e-07,9e-05,"smoking","F001"
"cg01618988",-0.0084,0.0017,6.7e-07,9.1e-05,"smoking","F001"
"cg26973018",-0.0037,7e-04,6.7e-07,9.1e-05,"smoking","F001"
"cg06857094",-0.011,0.0022,6.7e-07,9.1e-05,"smoking","F001"
"cg11335171",-0.0062,0.0012,6.7e-07,9.1e-05,"smoking","F001"
"cg03145963",0.002,4e-04,6.8e-07,9.2e-05,"smoking","F001"
"cg05162032",0.0034,7e-04,6.8e-07,9.2e-05,"smoking","F001"
"cg08442823",0.0073,0.0015,6.8e-07,9.2e-05,"smoking","F001"
"cg20066792",0.0084,0.0017,6.8e-07,9.2e-05,"smoking","F001"
"cg00481600",0.0032,6e-04,6.8e-07,9.2e-05,"smoking","F001"
"cg22453826",0.0111,0.0022,6.8e-07,9.2e-05,"smoking","F001"
"cg00505318",-0.006,0.0012,6.8e-07,9.2e-05,"smoking","F001"
"cg04409030",-0.0084,0.0017,6.8e-07,9.2e-05,"smoking","F001"
"cg27321942",-0.0057,0.0011,6.9e-07,9.3e-05,"smoking","F001"
"cg03407228",-0.0079,0.0016,6.9e-07,9.3e-05,"smoking","F001"
"cg03815552",-0.0049,0.001,6.9e-07,9.3e-05,"smoking","F001"
"cg09335715",0.0073,0.0015,6.9e-07,9.3e-05,"smoking","F001"
"cg14897188",-0.0076,0.0015,6.9e-07,9.3e-05,"smoking","F001"
"cg01016119",-0.0154,0.0031,6.9e-07,9.3e-05,"smoking","F001"
"cg09124496",-0.0095,0.0019,7e-07,9.4e-05,"smoking","F001"
"cg00851028",0.0059,0.0012,7e-07,9.4e-05,"smoking","F001"
"cg07474797",0.0044,9e-04,7e-07,9.4e-05,"smoking","F001"
"cg20746552",-0.0068,0.0014,7e-07,9.4e-05,"smoking","F001"
"cg05547853",-0.0067,0.0013,7e-07,9.4e-05,"smoking","F001"
"cg01140244",0.0048,0.001,7e-07,9.4e-05,"smoking","F001"
"cg05798664",-0.0079,0.0016,7e-07,9.4e-05,"smoking","F001"
"cg24791428",0.0027,5e-04,7.1e-07,9.5e-05,"smoking","F001"
"cg26418770",-0.0093,0.0019,7.1e-07,9.5e-05,"smoking","F001"
"cg04659729",-0.0065,0.0013,7.1e-07,9.5e-05,"smoking","F001"
"cg23018755",0.0059,0.0012,7.1e-07,9.5e-05,"smoking","F001"
"cg14558573",-0.0057,0.0011,7.1e-07,9.6e-05,"smoking","F001"
"cg26039141",-0.0033,7e-04,7.2e-07,9.6e-05,"smoking","F001"
"cg07141605",0.01,0.002,7.2e-07,9.6e-05,"smoking","F001"
"cg07197642",0.0035,7e-04,7.2e-07,9.6e-05,"smoking","F001"
"cg18080528",-0.0018,4e-04,7.2e-07,9.6e-05,"smoking","F001"
"cg13437554",-0.0054,0.0011,7.2e-07,9.6e-05,"smoking","F001"
"cg10112270",-0.0087,0.0018,7.2e-07,9.6e-05,"smoking","F001"
"cg27113059",0.0022,4e-04,7.2e-07,9.6e-05,"smoking","F001"
"cg21995800",-0.0074,0.0015,7.2e-07,9.6e-05,"smoking","F001"
"cg14753872",0.0083,0.0017,7.2e-07,9.7e-05,"smoking","F001"
"cg25069102",-0.0031,6e-04,7.3e-07,9.7e-05,"smoking","F001"
"cg19730887",-0.0065,0.0013,7.3e-07,9.8e-05,"smoking","F001"
"cg22619824",-0.0119,0.0024,7.4e-07,9.8e-05,"smoking","F001"
"cg26821540",0.0104,0.0021,7.4e-07,9.8e-05,"smoking","F001"
"cg13745870",-0.0066,0.0013,7.4e-07,9.8e-05,"smoking","F001"
"cg21158633",0.005,0.001,7.4e-07,9.8e-05,"smoking","F001"
"cg01692482",-0.0077,0.0016,7.5e-07,9.9e-05,"smoking","F001"
"cg13594630",0.0079,0.0016,7.5e-07,9.9e-05,"smoking","F001"
"cg02947253",0.0081,0.0016,7.5e-07,1e-04,"smoking","F001"
"cg09321238",0.0039,8e-04,7.5e-07,1e-04,"smoking","F001"
"cg04468402",0.0037,7e-04,7.5e-07,1e-04,"smoking","F001"
"cg04586126",-0.0066,0.0013,7.5e-07,1e-04,"smoking","F001"
"cg11796996",-0.008,0.0016,7.5e-07,1e-04,"smoking","F001"
"cg10189135",-0.0042,8e-04,7.5e-07,1e-04,"smoking","F001"
"cg24867302",0.0064,0.0013,7.5e-07,1e-04,"smoking","F001"
"cg19757631",-0.0043,9e-04,7.5e-07,1e-04,"smoking","F001"
"cg23323203",-0.0064,0.0013,7.5e-07,1e-04,"smoking","F001"
"cg26262442",0.0068,0.0014,7.6e-07,1e-04,"smoking","F001"
"cg04368843",-0.0069,0.0014,7.6e-07,1e-04,"smoking","F001"
"cg18082112",-0.0043,9e-04,7.6e-07,1e-04,"smoking","F001"
"cg03354707",-0.0072,0.0015,7.6e-07,1e-04,"smoking","F001"
"cg20701901",0.0032,6e-04,7.6e-07,1e-04,"smoking","F001"
"cg03665078",-0.0056,0.0011,7.6e-07,1e-04,"smoking","F001"
"cg20676788",-0.0142,0.0029,7.6e-07,1e-04,"smoking","F001"
"cg24111025",-0.005,0.001,7.7e-07,1e-04,"smoking","F001"
"cg06535156",-0.0047,9e-04,7.7e-07,1e-04,"smoking","F001"
"cg16861241",-0.0033,7e-04,7.7e-07,1e-04,"smoking","F001"
