"Pesticide","Adjustment","Effect","P_value","N_obs","N_SC","Effect_Non_Adj","Pvalue_Non_Adj"
"Rimsulfuron","Esfenvalerate",0.0735,"6.51e-01",1363,87,0.3072,"2.27e-02"
"Rimsulfuron","Glyphosate",-0.0585,"7.97e-01",1388,87,0.3305,"1.21e-02"
"Rimsulfuron","Metolachlor",0.3219,"1.25e-01",1155,87,0.4392,"3.23e-03"
"Rimsulfuron","Nicosulfuron",0.0314,"9.09e-01",1269,87,0.3916,"6.63e-03"
"Rimsulfuron","Pendimethalin",0.3242,"6.89e-02",1387,87,0.3305,"1.21e-02"
"Rimsulfuron","Picloram",0.3331,"2.31e-02",1248,79,0.3878,"7.16e-03"
"Rimsulfuron","Propargite",0.1667,"4.30e-01",545,72,0.1541,"4.70e-01"
"Rimsulfuron","Sethoxydim",0.2995,"5.90e-02",1328,87,0.2975,"2.98e-02"
"Rimsulfuron","Simazine",0.1641,"3.78e-01",1245,86,0.3902,"9.19e-03"
"Rimsulfuron","Terbufos",0.2441,"2.19e-01",1154,86,0.3337,"3.62e-02"
"Rimsulfuron","Dimethenamid",0.0437,"8.54e-01",1207,86,0.376,"1.25e-02"
"Rimsulfuron","Fenbuconazole",0.0096,"9.61e-01",287,22,0.0544,"7.91e-01"
"Rimsulfuron","Acetochlor",0.1702,"4.99e-01",1216,86,0.4426,"3.46e-03"
"Rimsulfuron","Imidacloprid",0.2631,"8.88e-02",1170,87,0.274,"5.55e-02"
"Rimsulfuron","Glufosinate",-0.0053,"9.83e-01",1156,85,0.351,"2.15e-02"
"Rimsulfuron","Tebupirimphos",0.0583,"8.55e-01",950,69,0.4984,"1.23e-02"
"Rimsulfuron","Diflufenzopyr",0.1774,"5.02e-01",1047,87,0.4094,"1.10e-02"
"Rimsulfuron","Flumioxazin",-0.4339,"2.68e-01",691,80,0.1983,"4.28e-01"
"Glufosinate","Alachlor",0.2678,"1.24e-01",1174,80,0.3475,"2.74e-03"
"Glufosinate","Atrazine",0.2304,"2.32e-01",1195,80,0.3286,"3.51e-03"
"Glufosinate","Carbaryl",0.3568,"4.96e-03",1193,80,0.3217,"4.34e-03"
"Glufosinate","Chlorothalonil",0.3167,"6.05e-03",1143,80,0.3217,"5.39e-03"
"Glufosinate","Clopyralid",0.3212,"5.91e-02",1173,80,0.3308,"4.04e-03"
"Glufosinate","Cyfluthrin",0.2867,"9.40e-02",1148,80,0.299,"1.21e-02"
"Glufosinate","Cyhalothrinlambda",0.2756,"8.85e-02",1178,80,0.3162,"5.97e-03"
"Glufosinate","Diazinon",0.3521,"8.77e-03",899,80,0.3698,"5.41e-03"
"Glufosinate","Esfenvalerate",0.2437,"1.03e-01",1182,80,0.3168,"5.66e-03"
"Glufosinate","Glyphosate",0.1742,"4.28e-01",1195,80,0.3286,"3.51e-03"
"Glufosinate","Metolachlor",0.3698,"5.14e-02",1008,80,0.4076,"2.78e-03"
"Glufosinate","Nicosulfuron",0.1471,"4.43e-01",1096,79,0.3603,"4.69e-03"
"Glufosinate","Pendimethalin",0.3398,"3.79e-02",1195,80,0.3286,"3.51e-03"
"Glufosinate","Picloram",0.3711,"5.40e-03",1051,72,0.3716,"3.31e-03"
"Glufosinate","Propargite",0.1853,"3.52e-01",319,64,0.0827,"6.92e-01"
"Glufosinate","Sethoxydim",0.2595,"6.81e-02",1168,80,0.3239,"4.61e-03"
"Glufosinate","Simazine",0.2416,"1.48e-01",1106,76,0.2788,"2.21e-02"
"Glufosinate","Terbufos",0.2989,"1.06e-01",1048,80,0.3346,"1.40e-02"
"Glufosinate","Dimethenamid",0.3117,"1.28e-01",1084,80,0.3621,"4.80e-03"
"Glufosinate","Fenbuconazole",0.0833,"5.89e-01",334,28,0.1231,"4.35e-01"
"Glufosinate","Acetochlor",0.3084,"1.73e-01",1064,79,0.3533,"9.13e-03"
"Glufosinate","Imidacloprid",0.3708,"6.23e-03",991,80,0.2858,"1.67e-02"
"Glufosinate","Rimsulfuron",0.1675,"4.14e-01",1129,80,0.32,"9.59e-03"
"Glufosinate","Tebupirimphos",0.3317,"1.96e-01",879,60,0.4912,"8.90e-03"
"Glufosinate","Diflufenzopyr",0.3094,"1.47e-01",919,78,0.3735,"9.98e-03"
"Glufosinate","Flumioxazin",0.0077,"9.81e-01",677,79,0.3537,"5.76e-02"
"Tebupirimphos","Alachlor",0.5855,"9.00e-02",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Atrazine",0.5647,"1.56e-01",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Carbaryl",0.627,"1.19e-02",876,55,0.6278,"9.09e-03"
"Tebupirimphos","Chlorothalonil",0.5644,"2.69e-02",829,55,0.6087,"1.35e-02"
"Tebupirimphos","Clopyralid",0.5985,"4.16e-02",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Cyfluthrin",0.4512,"1.98e-01",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Cyhalothrinlambda",0.5716,"5.57e-02",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Diazinon",0.6224,"4.86e-02",603,55,0.7402,"1.39e-02"
"Tebupirimphos","Esfenvalerate",0.5401,"5.66e-02",867,55,0.6487,"1.11e-02"
"Tebupirimphos","Glyphosate",0.3816,"3.17e-01",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Metolachlor",0.8763,"7.94e-03",832,55,0.7057,"3.90e-03"
"Tebupirimphos","Nicosulfuron",0.476,"2.65e-01",869,55,0.6695,"8.62e-03"
"Tebupirimphos","Pendimethalin",1.0104,"1.12e-03",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Picloram",0.6371,"7.59e-03",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Propargite",0.363,"3.69e-01",163,47,0.1558,"5.90e-01"
"Tebupirimphos","Sethoxydim",0.7206,"9.59e-03",870,55,0.6473,"6.72e-03"
"Tebupirimphos","Simazine",0.6437,"9.01e-02",806,55,0.5493,"1.12e-01"
"Tebupirimphos","Terbufos",0.7601,"1.61e-02",863,55,0.5656,"2.09e-02"
"Tebupirimphos","Dimethenamid",0.5212,"1.61e-01",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Fenbuconazole",-0.1787,"5.86e-01",83,6,-0.1618,"6.23e-01"
"Tebupirimphos","Acetochlor",0.6651,"1.44e-01",878,55,0.6386,"7.30e-03"
"Tebupirimphos","Imidacloprid",0.7554,"4.73e-03",683,55,0.6811,"8.99e-03"
"Tebupirimphos","Rimsulfuron",0.4675,"2.52e-01",862,55,0.6376,"1.89e-02"
"Tebupirimphos","Glufosinate",0.3771,"2.52e-01",872,55,0.6447,"8.25e-03"
"Tebupirimphos","Diflufenzopyr",0.8546,"5.08e-02",719,55,0.743,"6.79e-03"
"Tebupirimphos","Flumioxazin",0.397,"3.50e-01",589,55,0.8193,"1.73e-02"
"Diflufenzopyr","Alachlor",0.4504,"9.33e-02",1035,84,0.6177,"1.24e-03"
"Diflufenzopyr","Atrazine",0.0995,"7.39e-01",1084,84,0.5711,"1.66e-03"
"Diflufenzopyr","Carbaryl",0.4928,"1.49e-02",1082,84,0.5608,"2.13e-03"
"Diflufenzopyr","Chlorothalonil",0.5192,"6.33e-03",1039,84,0.5927,"1.55e-03"
"Diflufenzopyr","Clopyralid",0.4568,"5.58e-02",1083,84,0.5715,"1.66e-03"
"Diflufenzopyr","Cyfluthrin",0.3602,"1.31e-01",1064,84,0.566,"2.03e-03"
"Diflufenzopyr","Cyhalothrinlambda",0.4707,"3.53e-02",1083,84,0.5715,"1.65e-03"
"Diflufenzopyr","Diazinon",0.5723,"7.84e-03",857,84,0.6378,"2.49e-03"
"Diflufenzopyr","Esfenvalerate",0.3078,"1.81e-01",1048,84,0.5178,"6.90e-03"
"Diflufenzopyr","Glyphosate",0.2235,"4.65e-01",1084,84,0.5711,"1.66e-03"
"Diflufenzopyr","Metolachlor",0.6884,"2.86e-02",885,84,0.6739,"9.48e-04"
"Diflufenzopyr","Nicosulfuron",0.1535,"6.72e-01",958,84,0.6453,"2.47e-03"
"Diflufenzopyr","Pendimethalin",0.4449,"6.87e-02",1084,84,0.5711,"1.66e-03"
"Diflufenzopyr","Picloram",0.6289,"1.64e-03",985,77,0.6599,"7.48e-04"
"Diflufenzopyr","Propargite",0.0838,"6.84e-01",324,28,-0.1215,"4.89e-01"
"Diflufenzopyr","Sethoxydim",0.517,"1.75e-02",1008,84,0.6136,"1.48e-03"
"Diflufenzopyr","Simazine",0.5146,"6.44e-02",927,80,0.6634,"2.78e-03"
"Diflufenzopyr","Terbufos",0.4651,"1.02e-01",896,84,0.7107,"1.02e-03"
"Diflufenzopyr","Dimethenamid",0.3298,"3.31e-01",911,84,0.6911,"1.29e-03"
"Diflufenzopyr","Fenbuconazole",-0.0183,"9.50e-01",193,18,-0.0282,"9.27e-01"
"Diflufenzopyr","Acetochlor",0.3726,"2.62e-01",962,84,0.6506,"1.35e-03"
"Diflufenzopyr","Imidacloprid",0.5539,"4.74e-03",974,84,0.5432,"3.03e-03"
"Diflufenzopyr","Rimsulfuron",0.1369,"6.67e-01",1036,84,0.6249,"1.39e-03"
"Diflufenzopyr","Glufosinate",0.1947,"5.25e-01",946,82,0.6403,"3.09e-03"
"Diflufenzopyr","Tebupirimphos",0.1961,"6.45e-01",815,71,0.8039,"8.16e-04"
"Diflufenzopyr","Flumioxazin",0.2385,"5.73e-01",660,76,0.6958,"3.41e-02"
"Flumioxazin","Alachlor",1.2598,"1.95e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Atrazine",1.2853,"4.23e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Carbaryl",1.1403,"3.50e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Chlorothalonil",1.2701,"2.09e-02",546,51,1.3536,"1.28e-02"
"Flumioxazin","Clopyralid",1.2561,"2.02e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Cyfluthrin",1.1292,"3.94e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Cyhalothrinlambda",1.2144,"2.92e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Diazinon",0.9257,"1.26e-01",403,51,0.9293,"1.23e-01"
"Flumioxazin","Esfenvalerate",1.2484,"2.02e-02",578,51,1.2227,"2.11e-02"
"Flumioxazin","Glyphosate",1.3898,"3.29e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Metolachlor",1.4021,"1.43e-02",532,51,1.2295,"2.65e-02"
"Flumioxazin","Nicosulfuron",1.0621,"5.84e-02",578,51,1.2269,"2.11e-02"
"Flumioxazin","Pendimethalin",1.5082,"4.44e-03",579,51,1.2324,"1.99e-02"
"Flumioxazin","Picloram",1.2545,"1.82e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Sethoxydim",1.2646,"1.72e-02",572,51,1.2038,"2.32e-02"
"Flumioxazin","Simazine",1.4476,"2.54e-02",564,50,1.4332,"2.60e-02"
"Flumioxazin","Terbufos",1.0869,"5.18e-02",571,51,1.0466,"5.70e-02"
"Flumioxazin","Dimethenamid",1.3887,"1.52e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Acetochlor",1.2052,"4.98e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Imidacloprid",1.4606,"8.79e-03",512,51,1.4127,"1.16e-02"
"Flumioxazin","Rimsulfuron",1.2202,"3.04e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Glufosinate",1.0581,"6.60e-02",579,51,1.2324,"1.99e-02"
"Flumioxazin","Tebupirimphos",1.0801,"5.04e-02",577,51,1.2404,"2.00e-02"
"Flumioxazin","Diflufenzopyr",1.1785,"2.85e-02",579,51,1.2324,"1.99e-02"
